id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9
1,Christopher,FROOME,GBR,1985-05-20,SKY,,7,7,7,16,16,22,42,47,,,,,,,,,,,,,,
101,Mark,CAVENDISH,GBR,1985-05-21,DDD,56,63,123,142,146,204,204,204,204,,,,,,,,,,,,,,
102,Natnael,BERHANE,ERI,1991-01-05,DDD,,,,,,,,,,,,,,,,,,,,,,,
103,Edvald,BOASSON HAGEN,NOR,1987-05-17,DDD,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
104,Stephen,CUMMINGS,GBR,1981-03-19,DDD,,,,,,,50,50,50,,,,,,,,,,,,,,
105,Bernhard,EISEL,AUT,1981-02-17,DDD,,,,,,4,4,4,4,,,,,,,,,,,,,,
106,Reinardt,JANSE VAN RENSBURG,RSA,1989-02-03,DDD,,,,,,,,,,,,,,,,,,,,,,,
107,Serge,PAUWELS,BEL,1983-11-21,DDD,,,,,13,13,13,13,13,,,,,,,,,,,,,,
108,Mark,RENSHAW,AUS,1982-10-22,DDD,,,,,2,2,2,2,3,,,,,,,,,,,,,,
109,Daniel,TEKLEHAIMANOT,ERI,1988-11-10,DDD,,,,,,,,,,,,,,,,,,,,,,,
11,Nairo Alexander,QUINTANA ROJAS,COL,1990-02-04,MOV,,,,,2,2,2,7,11,,,,,,,,,,,,,,
111,WARREN,BARGUIL,FRA,1991-10-28,TGA,4,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,
112,Roy,CURVERS,NED,1979-12-27,TGA,,,,,,,,,,,,,,,,,,,,,,,
113,John,DEGENKOLB,GER,1989-01-07,TGA,2,2,6,6,6,6,6,6,6,,,,,,,,,,,,,,
114,Tom,DUMOULIN,NED,1990-11-11,TGA,,,,,,,,10,34,,,,,,,,,,,,,,
115,Simon,GESCHKE,GER,1986-03-13,TGA,,,,,,,11,11,11,,,,,,,,,,,,,,
116,Georg,PREIDLER,AUT,1990-06-17,TGA,,,,,,,,,,,,,,,,,,,,,,,
117,Ramon,SINKELDAM,NED,1989-02-09,TGA,,,,,,,,,,,,,,,,,,,,,,,
118,Laurens,TEN DAM,NED,1980-11-13,TGA,,,,,,,,,,,,,,,,,,,,,,,
119,Albert,TIMMER,NED,1985-06-13,TGA,,,,,,,,,,,,,,,,,,,,,,,
12,Alejandro,VALVERDE BELMONTE,ESP,1980-04-25,MOV,,20,20,20,20,20,27,35,35,,,,,,,,,,,,,,
121,Thibaut,PINOT,FRA,1990-05-29,FDJ,,,,,,,,1,17,,,,,,,,,,,,,,
122,William,BONNET,FRA,1982-06-25,FDJ,,,,,,,,,,,,,,,,,,,,,,,
123,Matthieu,LADAGNOUS,FRA,1984-12-12,FDJ,,,,,,,,,,,,,,,,,,,,,,,
124,Steve,MORABITO,SUI,1983-01-30,FDJ,,,,,,,,,,,,,,,,,,,,,,,
125,Cedric,PINEAU,FRA,1985-05-08,FDJ,,,,,,,,,,,,,,,,,,,,,,,
126,Sébastien,REICHENBACH,SUI,1989-05-28,FDJ,,,,,3,3,3,3,3,,,,,,,,,,,,,,
127,Anthony,ROUX,FRA,1987-04-18,FDJ,,,,,,,,,,,,,,,,,,,,,,,
128,Jérémy,ROY,FRA,1983-06-22,FDJ,,,,,,,,,,,,,,,,,,,,,,,
129,Arthur,VICHOT,FRA,1988-11-26,FDJ,,,,,,,,,,,,,,,,,,,,,,,
13,Winner Andrew,ANACONA GOMEZ,COL,0001-01-01,MOV,,1,1,1,1,1,1,1,14,,,,,,,,,,,,,,
131,Emanuel,BUCHMANN,GER,1992-11-18,BOA,,,,,,,,1,1,,,,,,,,,,,,,,
132,Shane,ARCHBOLD,NZL,1989-02-02,BOA,,,,,,7,7,7,7,,,,,,,,,,,,,,
133,Jan,BARTA,CZE,1984-07-12,BOA,17,17,17,17,17,37,37,37,37,,,,,,,,,,,,,,
134,Cesare,BENEDETTI,ITA,1987-08-03,BOA,,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,
135,Sam,BENNETT,IRL,1990-10-16,BOA,,,,,,,,,,,,,,,,,,,,,,,
136,Bartosz,HUZARSKI,POL,1980-10-27,BOA,,,,,22,22,22,22,22,,,,,,,,,,,,,,
137,Patrick,KONRAD,AUT,1991-10-13,BOA,,,,,,,,,,,,,,,,,,,,,,,
138,Andreas,SCHILLINGER,GER,1983-07-13,BOA,,,,20,20,20,20,20,20,,,,,,,,,,,,,,
139,Paul,VOSS,GER,1986-03-26,BOA,,17,17,17,17,17,17,28,28,,,,,,,,,,,,,,
14,Imanol,ERVITI OLLO,ESP,1983-11-15,MOV,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,
141,Joaquim,RODRIGUEZ,ESP,1979-05-12,KAT,,2,2,2,21,21,21,36,36,,,,,,,,,,,,,,
142,Jacopo,GUARNIERI,ITA,1987-08-14,KAT,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
143,Marco,HALLER,AUT,1991-04-01,KAT,,,,,,,,,,,,,,,,,,,,,,,
144,Alexander,KRISTOFF,NOR,1987-07-05,KAT,12,21,40,56,56,74,74,74,74,,,,,,,,,,,,,,
145,Alberto,LOSADA ALGUACIL,ESP,1982-02-28,KAT,,,,,,,,,,,,,,,,,,,,,,,
146,Michael,MORKOV,DEN,1985-04-30,KAT,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
147,Jurgen,VAN DEN BROECK,BEL,1983-02-01,KAT,,,,,,,,,,,,,,,,,,,,,,,
